Time,TG No.,TG Rotate,TG Spin Speed,TG-Z,Mask1,Mask2,Substrate,FocusLns,MirrorPs,ATN,BTFvalve,LaserHz,LaserPuls,Laser moni,Laser set,MissedPuls,PwrMeter,HT set,HT moni,Delta HT curr,HT Temp set,HT Temp moni,Delta Temp,MFC1 set,MFC1 moni,Delta MFC1,MFC2 set,MFC2 moni,Delta MFC2,MFC3 set,MFC3 moni,Delta MFC3,MFC4 set,MFC4 moni,Delta MFC4,MFC5 set,MFC5 moni,Delta MFC5,Prc Pres Main,Prc Pres Main2,Vac Pres Main,Back Pres Main,Prc Pres L/L,Vac Pres L/L,Back Pres L/L,Heat Stat,DepoLaserStat,Pump Stat,Valve Stat1,Valve Stat2,Shut Stat,Motor Stat,Other Stat,A Utility1,A Utility2,A Pump1,A Pump2,A EXT1,A EXT2,A Motor1,A Motor2,W Pross,W etc,index
11:58:05 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.44E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0
11:58:10 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.42E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,1
11:58:15 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.42E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,2
11:58:20 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.46E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,3
11:58:25 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.46E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,4
11:58:30 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.46E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,5
11:58:35 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.44E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,6
11:58:40 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.42E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,7
11:58:45 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.40E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,8
11:58:50 AM,6,0.00,0,0.00,-1.67,0.00,0.00,100.00,-1.00,-1.00,-1.00,0,1,1,100,0,-1,0.18,0.00,0.18,160,160,0,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00,0.00,2.42E-1,1.024E+5,0.00E+0,1.33E-2,-1.00,0.00E+0,1.33E-2,0x0004,0x0000,0x007F,0x0214,0x0000,0x0001,0x0000,0x0000,0x0000,0x0000,0x0000,0x0004,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,9
